Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,,,,,,,
181, Arif,Introduction to Deep Learning for Engineers: Using Python and Google Cloud Platform,8,2020, morganclaypool.com, Synthesis Lectures on Mechanical Engineering,https://www.morganclaypool.com/doi/abs/10.2200/S01029ED1V01Y202007MEC028,3,,,,,,,
161,"Tian, Y Gao, Z Fang, J Gu",Automatic coronary artery segmentation algorithm based on deep learning and digital image processing,5,2021, Springer, Applied Intelligence,https://link.springer.com/article/10.1007/s10489-021-02197-6,2,,,,,,,
272,"Ocal, N Barisci",Prostate segmentation via dynamic fusion model,2,2022, Springer, Arabian Journal for Science and Engineering,https://link.springer.com/article/10.1007/s13369-021-06502-w,2,,,,,,,
304,"Stachenfeld, DB Fielding, D Kochkov…",Learned Simulators for Turbulence,5,2021, openreview.net, International …,https://openreview.net/forum?id=msRBojTz-Nh,2,,,,,,,
276,"Zhuang, H Liu, E Song, G Ma, X Xu…",APRNet: A 3D Anisotropic Pyramidal Reversible Network With Multi-Modal Cross-Dimension Attention for Brain Tissue Segmentation in MR Images,5,2021, ieeexplore.ieee.org, IEEE Journal of …,https://ieeexplore.ieee.org/abstract/document/9470936/,2,,,,,,,
151,"Dorobanțiu, V Ogrean, R Brad",Coronary Centerline Extraction from CCTA Using 3D-UNet,3,2021, mdpi.com, Future Internet,https://www.mdpi.com/1078038,2,,,,,,,
168,"Zeng, S Tong, Y Lu, L Xu, Z Huang",Adaptive medical image deep color perception algorithm,7,2020, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/9043495/,2,,,,,,,
337,S Beardslee,Taking the Business Out of Work Product,26,2010, HeinOnline, Fordham L. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/flr79&section=68,2,,,,,,,
260,"Damaj, SK Al Khatib, T Naous, W Lawand…",Intelligent transportation systems: A survey on modern hardware devices for the era of machine learning,5,2021, Elsevier, Journal of King Saud …,https://www.sciencedirect.com/science/article/pii/S1319157821001877,2,,,,,,,
307,Marti,Trust and reputation in peer-to-peer networks,41,2005, search.proquest.com,,https://search.proquest.com/openview/4e15234602b3313fce2b942da0367e04/1?pq-origsite=gscholar&cbl=18750&diss=y,2,,,,,,,
185,"Chen, Y Wang, F Hu, L Feng, T Zhou, C Zheng",LDNNET: Towards Robust Classification of Lung Nodule and Cancer Using Lung Dense Neural Network,4,2021, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/9386129/,2,,,,,,,
419,tional Research Council,Uninhabited Air Vehicles: Enabling Science for Military Systems,38,2000, books.google.com,,https://books.google.com/books?hl=en&lr=&id=0fWbAgAAQBAJ&oi=fnd&pg=PR1&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=Ca5gkeeOQE&sig=PLdBP1i3ePg20kzNdBGrdAFjNbA,2,,,,,,,
216,"Lin, WC Chou",Machine learning and artificial intelligence in toxicological sciences,2,2022, academic.oup.com, Toxicological Sciences,https://academic.oup.com/toxsci/article-abstract/189/1/7/6647868,2,,,,,,,
408, Turk,Securitization Reform after the Crisis: Regulation by Rulemaking or Regulation by Settlement,11,2017, HeinOnline, Rev. Banking & Fin. L.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/annrbfl37&section=20,2,,,,,,,
233," Patro, M Lunayach, D Srivastava…",Multimodal Humor Dataset: Predicting Laughter tracks for Sitcoms,3,2021, openaccess.thecvf.com, Proceedings of the …,http://openaccess.thecvf.com/content/WACV2021/html/Patro_Multimodal_Humor_Dataset_Predicting_Laughter_Tracks_for_Sitcoms_WACV_2021_paper.html,2,,,,,,,
232,"Wang, V Dhiman, N Atanasov",Inverse reinforcement learning for autonomous navigation via differentiable semantic mapping and planning,3,2021, arxiv.org, arXiv preprint arXiv:2101.00186,https://arxiv.org/abs/2101.00186,2,,,,,,,
191,"Malone, L Fennell, T Folliard, C Kelly",Using a neural network to predict deviations in mean heart dose during the treatment of left-sided deep inspiration breath hold patients,6,2019, Elsevier, Physica Medica,https://www.sciencedirect.com/science/article/pii/S1120179719301942,2,,,,,,,
386,DeStefano,Claim funders and commercial claim holders: A common interest or a common problem,21,2013, HeinOnline, DePaul L. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/deplr63&section=15,2,,,,,,,
225," Argomedo, E Witrant, C Prieur",Safety factor profile control in a Tokamak,15,2014, Springer,,https://link.springer.com/content/pdf/10.1007/978-3-319-01958-1.pdf,2,,,,,,,
366,"Brenner, F Platzer, M Steinebach",Discovery of single-vendor marketplace operators in the tor-network,5,2021, dl.acm.org, The 16th International Conference …,https://dl.acm.org/doi/abs/10.1145/3465481.3470026,2,,,,,,,
365,"Platzer, F Brenner…",Similarity Analysis of Single-Vendor Marketplaces in the Tor-Network,2,2022, journals.riverpublishers.com, Journal of Cyber …,https://journals.riverpublishers.com/index.php/JCSANDM/article/view/12757,2,,,,,,,
357,Powell,Language choice in postcolonial law,7,2020, Springer, Language Policy,https://link.springer.com/content/pdf/10.1007/978-981-15-1173-8.pdf,2,,,,,,,
481,Cohen,Enmerkar and the Lord of Aratta,103,1973, search.proquest.com,,https://search.proquest.com/openview/6f4446ab5d5b2d2a3ecdf0070c97adde/1?pq-origsite=gscholar&cbl=18750&diss=y,2,,,,,,,
15," Delisle, B Ancti",Realistic image normalization for multi-Domain segmentation,5,2021, Elsevier, Medical Image …,https://www.sciencedirect.com/science/article/pii/S1361841521002371,2,,,,,,,
13,"Pollok, N Olde",Magnetic Field Prediction Using Generative Adversarial Networks,2,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2203.07897,2,,,,,,,
131,"Keramati, F Hamdullahpur, M Barzegari",Deep reinforcement learning for heat exchanger shape optimization,2,2022, Elsevier, International Journal of Heat …,https://www.sciencedirect.com/science/article/pii/S001793102200583X,2,,,,,,,
93,Torrent,Deep Q-Capsnet reinforcement learning framework for intrauterine cavity segmentation in TTTS fetal surgery planning,5,2020, ieeexplore.ieee.org, IEEE transactions on …,https://ieeexplore.ieee.org/abstract/document/9067025/,2,,,,,,,
125," Vashi, RM Patel, GM Deheri",Ferrofluid based squeeze film lubrication between rough stepped plates with couple stress effect,8,2018, jafmonline.net, Journal of Applied Fluid …,https://www.jafmonline.net/JournalArchive/article_619.html,2,,,,,,,
63,"Škvára, V Šmídl, T Pevný, J Seidl…",Detection of Alfvén eigenmodes on COMPASS with generative neural networks,6,2020, Taylor & Francis, Fusion Science and …,https://www.tandfonline.com/doi/abs/10.1080/15361055.2020.1820805,2,,,,,,,
11,"Li, W Liu, H Ma, S Zhu",Beyond view transformation: Cycle-consistent global and partial perception gan for view-invariant gait recognition,11,2018, ieeexplore.ieee.org, 2018 IEEE International Conference …,https://ieeexplore.ieee.org/abstract/document/8486484/,2,,,,,,,
62,"Koide, H Shimizu, K Wakabayashi…",Synthetic breath-hold CT generation from free-breathing CT: a novel deep learning approach to predict cardiac dose reduction in deep-inspiration breath-hold …,3,2021, academic.oup.com, Journal of Radiation …,https://academic.oup.com/jrr/article-abstract/62/6/1065/6359247,2,,,,,,,
92,"Kawasaki, S Koga, MN Machida",Dust coagulation and fragmentation in a collapsing cloud core and their influence on non-ideal magnetohydrodynamic effects,2,2022, academic.oup.com, Monthly Notices of the Royal …,https://academic.oup.com/mnras/article-abstract/515/2/2072/6639877,2,,,,,,,
94,Blanc,Improving text recognition in Tor darknet with rectification and super-resolution techniques,7,2019, IET,,https://digital-library.theiet.org/content/conferences/10.1049/cp.2019.1164,2,,,,,,,
17,"Liu, H Fu, H Ma",An end-to-end convolutional network for joint detecting and denoising adversarial perturbations in vehicle classification,5,2021, Springer, Computational Visual Media,https://link.springer.com/article/10.1007/s41095-021-0202-3,2,,,,,,,
90,"Siemiginowska, M Kuhn, M Graham, AA Mahabal…",The next decade of astroinformatics and astrostatistics,10,2019, authors.library.caltech.edu,,https://authors.library.caltech.edu/99921/,2,,,,,,,
21,"Kang, L Liu, H Ma",ESR-GAN: Environmental signal reconstruction learning with generative adversarial network,5,2020, ieeexplore.ieee.org, IEEE Internet of Things Journal,https://ieeexplore.ieee.org/abstract/document/9173535/,2,,,,,,,
9,"Kaiser, S Albarqouni",MRI to CT Translation with GANs,9,2019, arxiv.org, arXiv preprint arXiv:1901.05259,https://arxiv.org/abs/1901.05259,2,,,,,,,
73," Martel, P Abolmaesumi, D Stoyanov, D Mateus…","Medical Image Computing and Computer Assisted Intervention–MICCAI 2020: 23rd International Conference, Lima, Peru, October 4–8, 2020, Proceedings …",7,2020, books.google.com,,https://books.google.com/books?hl=en&lr=&id=z5EAEAAAQBAJ&oi=fnd&pg=PR5&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=GgcODoVvkx&sig=H6Z0sEBa3N_4blm8EgTbKLQG8DQ,2,,,,,,,
102,"Morra, DA Yuen, HM Tufo…","Fresh outlook in numerical methods for geodynamics–Part 2: Big data, HPC, education",5,2020, researchgate.net, Encyclopedia of …,https://www.researchgate.net/profile/Gabriele-Morra/publication/345019298_Fresh_Outlook_in_Numerical_Methods_for_Geodynamics-Part_2_Big_Data_HPC_Education/links/5fa47266a6fdcc0624188148/Fresh-Outlook-in-Numerical-Methods-for-Geodynamics-Part-2-Big-Data-HPC-Education.pdf,2,,,,,,,
65,"Xu, S Liu, Y Yan, W Zhang",EUV Wave Detection and Characterization Using Deep Learning,2,2020, Springer, Solar Physics,https://link.springer.com/article/10.1007/s11207-020-01612-4,1,,,,,,,
414,"tional Academies of Sciences, Engineering, and …",2015-2016 Assessment of the Army Research Laboratory: Interim Report,4,2016, books.google.com,,https://books.google.com/books?hl=en&lr=&id=N_ydDgAAQBAJ&oi=fnd&pg=PR1&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=krn-ab5Cqq&sig=VRnXVitj2TfQTjSr9duKGy50TLI,1,,,,,,,
180,"Wrench, TN Parashar, RK Singh, M Frean…",Exploring the potential of neural networks to predict statistics of solar wind turbulence,1,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2204.07959,1,,,,,,,
179,"Wu, J Li, R Li, X Xi, D Gui, J Yin",A Fast Maritime Target Identification Algorithm for Offshore Ship Detection,1,2022, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/12/10/4938,1,,,,,,,
25,"Deng, W Song, D Liu, Q Li, G Lin…",Improving the Spatial Resolution of Solar Images Using Generative Adversarial Network and Self-attention Mechanism,2,2021, iopscience.iop.org, The Astrophysical …,https://iopscience.iop.org/article/10.3847/1538-4357/ac2aa2/meta,1,,,,,,,
26,"Du, X Zheng, L Liu, H Ma",Defending Against Universal Attack Via Curvature-Aware Category Adversarial Training,1,2022, ieeexplore.ieee.org,2022 IEEE …,https://ieeexplore.ieee.org/abstract/document/9746983/,1,,,,,,,
438,"Liu, K Cui, K Hu, Y Wang, A Zhou, L Liu…",mTransSee: Enabling Environment-Independent mmWave Sensing Based Gesture Recognition via Transfer Learning,1,2022, dl.acm.org, Proceedings of the ACM …,https://dl.acm.org/doi/abs/10.1145/3517231,1,,,,,,,
187,"Senanayake, H Kalutarage, MO A",Android source code vulnerability detection: a systematic literature review,1,2022, dl.acm.org, ACM Computing …,https://dl.acm.org/doi/abs/10.1145/3556974,1,,,,,,,
266," Li, WJ Lei, YB Yang",From Easy to Hard: Two-stage Selector and Reader for Multi-hop Question Answering,1,2022, arxiv.org, arXiv preprint arXiv:2205.11729,https://arxiv.org/abs/2205.11729,1,,,,,,,
115,"Anirudh, R Archibald, MS Asif, MM Becker…",2022 Review of Data-Driven Plasma Science,1,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2205.15832,1,,,,,,,
7,"Gao, L Liu, C Zhang, X Wang, H Ma",SI-AGAN: Spatial interpolation with attentional generative adversarial networks for environment monitoring,4,2020, ebooks.iospress.nl, ECAI 2020,https://ebooks.iospress.nl/doi/10.3233/FAIA200293,1,,,,,,,
193," Dollet, AD Matalobos",Network orchestration in response to customized mass markets of premium wines and spirits,15,2010, Taylor & Francis, Supply Chain Forum: An International …,https://www.tandfonline.com/doi/abs/10.1080/16258312.2010.11517226,1,,,,,,,
292,Grover,The 'advancedness' of knowledge in pollution-saving technological change with a qualitative application to SO2 cap and trade,7,2013, Elsevier, Ecological economics,https://www.sciencedirect.com/science/article/pii/S0921800913000682,1,,,,,,,
50,"Hecht, MH Sarhan, V Popovici",Disentangled autoencoder for cross-stain feature extraction in pathology image analysis,2,2020, mdpi.com, Applied Sciences,https://www.mdpi.com/827896,1,,,,,,,
222," Lin, PL Chiang, PW Chen, LH Cheng…",Toward automated segmentation for acute ischemic stroke using non-contrast computed tomography,1,2022, Springer, International Journal of …,https://link.springer.com/article/10.1007/s11548-022-02570-x,1,,,,,,,
353,"Fu, Y Zhang, H Ma",See clearly on rainy days: Hybrid multiscale loss guided multi-feature fusion network for single image rain removal,2,2021, Springer, Computational Visual Media,https://link.springer.com/article/10.1007/s41095-021-0210-3,1,,,,,,,
52,"Jaipuria, S Gupta, P Narayanan…",On the role of receptive field in unsupervised sim-to-real image translation,2,2020, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2001.09257,1,,,,,,,
174," Azam, KB Khan, M Aqeel, AR Chishti…",Analysis of the MIDAS and OASIS biomedical databases for the application of multimodal image processing,5,2019, Springer, International Conference …,https://link.springer.com/chapter/10.1007/978-981-15-5232-8_50,1,,,,,,,
28,"Shi, T Zhao, SJ West, AE Desjardins, T Vercauteren…",Improving needle visibility in LED-based photoacoustic imaging using deep learning with semi-synthetic datasets,1,2022, Elsevier, Photoacoustics,https://www.sciencedirect.com/science/article/pii/S2213597922000209,1,,,,,,,
144,"Rothschild, D Nagai, H Aung…",Emulating Sunyaev–Zeldovich images of galaxy clusters using autoencoders,1,2022, academic.oup.com, Monthly Notices of …,https://academic.oup.com/mnras/article-abstract/513/1/333/6530207,1,,,,,,,
373," Dettman, MJ Harty, J Lewin",Resolving Megaproject Claims: Lessons from Boston's Big Dig,12,2010, HeinOnline, Constr. Law.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/conlaw30&section=16,1,,,,,,,
8, Larsen,Exploring generative adversarial networks to improve prostate segmentation on mri,2,2020, uis.brage.unit.no,,https://uis.brage.unit.no/uis-xmlui/handle/11250/2680065,1,,,,,,,
138,"Bhattacharyya, N Thirupathi Rao, ESN Joshua…",A bi-directional deep learning architecture for lung nodule semantic segmentation,1,2022, Springer, The Visual …,https://link.springer.com/article/10.1007/s00371-022-02657-1,1,,,,,,,
152,"Ocal, N Barisci",A novel prostate segmentation method: triple fusion model with hybrid loss,1,2022, Springer, Neural Computing and Applications,https://link.springer.com/article/10.1007/s00521-022-07188-3,1,,,,,,,
432, Easton,That Is Not All There Is: Enhancing Daubert Exclusion by Applying Ordinary Witness Principles to Experts,12,2005, HeinOnline, Neb. L. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/nebklr84&section=23,1,,,,,,,
320,"Min, L Hu, L Wei, SD Nie",Computer-aided detection of pulmonary nodules based on convolutional neural networks: a review,1,2022, iopscience.iop.org, Physics in Medicine & Biology,https://iopscience.iop.org/article/10.1088/1361-6560/ac568e/meta,1,,,,,,,
243,"Zhang, H Zhang",LungSeek: 3D Selective Kernel residual network for pulmonary nodule diagnosis,1,2022, Springer, The Visual Computer,https://link.springer.com/article/10.1007/s00371-021-02366-1,1,,,,,,,
242,"D'Elia, H Deng, C Fraces, K Garikipati…",Machine Learning in Heterogeneous Porous Materials,1,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2202.04137,1,,,,,,,
77,Régald,Generative Models of Multi-channel Data from a Single Example--Application to Dust Emission,1,2022, researchgate.net, arXiv e …,https://www.researchgate.net/profile/Leo-Vacher/publication/362567780_Generative_Models_of_Multi-channel_Data_from_a_Single_Example_--_Application_to_Dust_Emission/links/63036ff8ceb9764f7216c903/Generative-Models-of-Multi-channel-Data-from-a-Single-Example--Application-to-Dust-Emission.pdf,1,,,,,,,
315," Jena, B Bhushan, U Kose",Machine Learning and Deep Learning in Medical Data Analytics and Healthcare Applications,1,2022, books.google.com,,https://books.google.com/books?hl=en&lr=&id=rQtZEAAAQBAJ&oi=fnd&pg=PP10&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=fiAYkBjIBc&sig=X-6fZAv4brxeUUzAl6D4bHlkDLU,1,,,,,,,
160,"Wang, F Milletari, HV Nguyen, S Albarqouni…","Domain adaptation and representation transfer and medical image learning with less labels and imperfect data: first MICCAI workshop, dart 2019, and first …",4,2019, books.google.com,,https://books.google.com/books?hl=en&lr=&id=ydW1DwAAQBAJ&oi=fnd&pg=PR5&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=ngEFSnmZ5x&sig=4jx_NoZPoP7AqZltL1TqJV_UnvU,1,,,,,,,
133,"Sun, G Li, Z Wu, K Gao, S Niu, D Shen…",Segmentation with varying contrasts of pediatric MRI,2,2021, Elsevier, Advances in Magnetic …,https://www.sciencedirect.com/science/article/pii/B9780128166338000107,1,,,,,,,
261,"Morra, DA Yuen, HM Tufo, MG Knepley",Fresh Outlook in Numerical Methods for Geodynamics,3,2020, researchgate.net, Encycl. Geol,https://www.researchgate.net/profile/Gabriele-Morra/publication/340754931_Fresh_Outlook_in_Numerical_Methods_for_Geodynamics/links/5e9bd07192851c2f52ae6407/Fresh-Outlook-in-Numerical-Methods-for-Geodynamics.pdf,1,,,,,,,
343," Vick, NC Magnuson",The Promise of a Cooperative and Proportional Discovery Process in North Carolina: House Bill 380 and the New State Electronic Discovery Rules,7,2011, HeinOnline, Campbell L. Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/camplr34&section=14,1,,,,,,,
345,Tennant,Governments and voluntary sector welfare: historians' perspectives,27,2001, msd.govt.nz, Social policy journal of New Zealand,https://www.msd.govt.nz/documents/about-msd-and-our-work/publications-resources/journals-and-magazines/social-policy-journal/spj17/17-pages147-160.pdf,1,,,,,,,
348, Beattie,History and overview of solar heat technologies,23,1997, books.google.com,,https://books.google.com/books?hl=en&lr=&id=Ps1_jolaIHQC&oi=fnd&pg=PR7&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=rk21vc4zeH&sig=XTsKacZNWP5S24Hm597806OImFI,1,,,,,,,
172,"Zakeri, A Hokmabadi, N Ravikumar, AF Frangi…",A probabilistic deep motion model for unsupervised cardiac shape anomaly assessment,1,2022, Elsevier, Medical Image …,https://www.sciencedirect.com/science/article/pii/S1361841521003212,1,,,,,,,
421, Danna,V. The Impact of Electronic Discovery on Privilege and the Applicability of the Electronic Communications Privacy Act,24,2005, digitalcommons.lmu.edu, Loyola of Los Angeles Law Review,https://digitalcommons.lmu.edu/cgi/viewcontent.cgi?article=2484&context=llr,1,,,,,,,
378,From,The Meyers Estimates for Domains Perforated along the Boundary pp. 1-11 Downloads Gregory A. Chechkin Efficient Covering of Thin Convex Domains …,0,0, econpapers.repec.org,,https://econpapers.repec.org/article/gamjmathe/default.htm,0,,,,,,,
22,"Chen, Z Fang, D Xiao, DT Bui, KH Thung, X Li…",CNS: CycleGAN-Assisted Neonatal Segmentation Model for Cross-Datasets,1,2019, Springer, … Workshop on Graph …,https://link.springer.com/chapter/10.1007/978-3-030-35817-4_21,0,,,,,,,
379," Aamo, A Abate, S Aberkane…",2013 Index IEEE Transactions on Automatic Control Vol. 58,0,2013, ieeexplore.ieee.org, … on Automatic Control,https://ieeexplore.ieee.org/abstract/document/6689368/,0,,,,,,,
383, TUAMA,EFFICIENT AND SECURED COMPRESSION AND STEGANOGRAPHY TECHNIQUE IN WIRELESS SENSOR NETWORK,0,2016, psasir.upm.edu.my,,http://psasir.upm.edu.my/id/eprint/69360/1/FSKTM%202016%2024%20IR.pdf,0,,,,,,,
380,"Cackette, Z Shao",California's Clean Diesel Program,0,2021, theicct.org,,https://theicct.org/wp-content/uploads/2021/12/California-Clean-Diesel-white-paper-v2-dec21.pdf,0,,,,,,,
381,Maier,Residential broadband internet traffic: characterization and security analysis,2,0,berlin.de,,http://www.depositonce.tu-berlin.de/handle/11303/2862,0,,,,,,,
382," Paul, M Dredze",PREPRINT: Social Monitoring for Public Health,0,0, cs.jhu.edu,MJ Paul,https://www.cs.jhu.edu/~mdredze/publications/2017_social_monitoring_preprint.pdf,0,,,,,,,
375," Anderson, ME Zosel, MC Miller",Enabling Science and Technology Computation Directorate 2005 Annual Report,0,2006, osti.gov,,https://www.osti.gov/servlets/purl/884783,0,,,,,,,
385,Wang,Toward Intelligent Welding by Building Its Digital Twin,0,2021, uknowledge.uky.edu,,https://uknowledge.uky.edu/ece_etds/161/,0,,,,,,,
20,Nie,Blurry Boundary Delineation and Adversarial Confidence Learning for Medical Image Analysis,0,2019, search.proquest.com,,https://search.proquest.com/openview/dbe3427095421fc8359523ad048d6541/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
387,구,DEEP LEARNING ON GRAPHS,0,0,space.snu.ac.kr,,https://s-space.snu.ac.kr/handle/10371/140673,0,,,,,,,
388, Riedel,Could not catch title,0,1994, Citeseer, 36th Annual Conference of the,"Look manually at: https://scholar.google.com/scholar?start=380&q=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&hl=en&as_sdt=0,5",0,,,,,,,
19,"Cao, T Fu, L Duan, Y Dai, L Gong, W Cao…",CDFRegNet: A cross-domain fusion registration network for CT-to-CBCT image registration,0,2022, Elsevier, Computer Methods and …,https://www.sciencedirect.com/science/article/pii/S0169260722004072,0,,,,,,,
391,Doelle,of the State of the Negotiations,0,2020, HeinOnline, Environmental Impact Assessment Review,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/ljmc35&section=25,0,,,,,,,
392, DEPARTMENTSIAGENCIES,SMALL BUSINESS INNOVATION,0,0, apps.dtic.mil,,https://apps.dtic.mil/sti/citations/ADA282888,0,,,,,,,
393, Morello,Active Controls for a Smooth Ride on Air Taxis in Urban Environments,0,2021, ntrs.nasa.gov,,https://ntrs.nasa.gov/api/citations/20210023875/downloads/Final%20abstracts.docx.pdf,0,,,,,,,
376," Livingston, LLB Camia Weaver, N Hall…",Criminal justice diversion for persons with mental disorders,2,2008, publicsafety.gc.ca, … Diversion Project of …,http://www.publicsafety.gc.ca/lbrr/archives/cnmcs-plcng/cn32173-eng.pdf,0,,,,,,,
142,"Wu, YX Shou, LM Ma, Q Lu, R Wang",Estimation of Maximum Hail Diameters from FY-4A Satellite Data with a Machine Learning Method,1,2021, mdpi.com, Remote Sensing,https://www.mdpi.com/1421302,0,,,,,,,
374,"Inayat, S Iqbal, T Manzoor, MF Zia",Numerical Investigation of Heat Transfer on Unsteady Hiemenz Cu-Water and Ag-Water Nanofluid Flow over a Porous Wedge Due to Solar Radiation,1,2021, mdpi.com, Applied Sciences,https://www.mdpi.com/2076-3417/11/22/10855,0,,,,,,,
339," Bandyk, DR Gopireddy, C Lall, KC Balaji…",Bladder segmentation based on deep learning approaches: current limitations and lessons,0,2021, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2101.06498,0,,,,,,,
349, Huss,Melendez-Diaz v. Massachusetts: Testing the Adaptation of the Confrontation Clause to Neutral Analysts and Developing Technology,3,2011, HeinOnline, SDL Rev.,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/sdlr56&section=18,0,,,,,,,
347,Coleman,"on Disabilities; the ARC, formally the Association for Retarded",0,1996, books.google.com, Assisted Suicide in the United States: Hearing …,https://books.google.com/books?hl=en&lr=&id=2LvpS-uT8AYC&oi=fnd&pg=PA53&dq=(gan+OR+adversarial+OR+(generative+and+adversarial+and+net*))+AND+magnetohydrodynamics&ots=VNW1vaRtgL&sig=QFlgpfkOfN7rP5ho_cf22xuybSI,0,,,,,,,
346," Hendrickson, KF Alvin, LAA Miller, SS Collis",Center for Computing Research Highlights.,0,2016, osti.gov,,https://www.osti.gov/servlets/purl/1561474,0,,,,,,,
344,Garibaldi,Water Filtration and Sterilization in Maintenance of Marine Mammal Systems,0,0, naldc.nal.usda.gov,,https://naldc.nal.usda.gov/download/CAT10875899/PDF#page=47,0,,,,,,,
342,Altoutou,"THE CONFRONTATION OVER IRAN'S NUCLEAR PROGRAMME: NATURE, SCOPE, AND LEGALITY",0,2016, radar.brookes.ac.uk,,https://radar.brookes.ac.uk/radar/file/1d9edb41-46f2-4cc0-b792-9303c6451fec/1/fulltext.pdf,0,,,,,,,
29,"Karlsson, P Welander",Generative Adversarial Networks for Image-to-Image Translation on Street View and MR Images,0,0,portal.org,,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1216606,0,,,,,,,
340,正基， 大賀隆裕， 大西正輝,サーベイ論文,0,0, search.ieice.org,,https://search.ieice.org/bin/pdf_link.php?category=D&fname=J102-D_201902&lang=J&year=2019,0,,,,,,,
338, Harlow,Spinoff Challenges for Computational Fluid Dynamics,2,2013, asmedigitalcollection.asme.org, Journal of heat transfer,https://asmedigitalcollection.asme.org/heattransfer/article-abstract/135/1/011001/366491,0,,,,,,,
372, Moore,"US Navy infrastructure--planning, bugeting and acquisition at Naval Submarine Base New London",1,1997, dspace.mit.edu,,https://dspace.mit.edu/bitstream/handle/1721.1/43522/38258719-MIT.pdf?sequence=2,0,,,,,,,
30,"Wu, Y Pang, P Cao",A 3D multi-scale virtual adversarial network for false positive reduction in pulmonary nodule detection,1,2019, dl.acm.org, Proceedings of the 2019 3rd International …,https://dl.acm.org/doi/abs/10.1145/3319921.3319961,0,,,,,,,
31,"Zhu, C Zhang, C Park, C Yang, J Han",Shift-Robust Node Classification via Graph Adversarial Clustering,0,2022, arxiv.org, arXiv preprint arXiv:2203.15802,https://arxiv.org/abs/2203.15802,0,,,,,,,
33,Kigure,Application of Video-to-Video Translation Networks to Computational Fluid Dynamics,0,2021, frontiersin.org, Frontiers in Artificial Intelligence,https://www.frontiersin.org/articles/10.3389/frai.2021.670208/full,0,,,,,,,
35,"Xu, X Zheng, X Li, Y Zhang, L Liu…",WiCAM: Imperceptible Adversarial Attack on Deep Learning based WiFi Sensing,0,2022, ieeexplore.ieee.org, 2022 19th Annual IEEE …,https://ieeexplore.ieee.org/abstract/document/9918564/,0,,,,,,,
333," Vemparala, N Fasfous, A Frickenstein…",L2PF-Learning to Prune Faster,1,2020, Springer, … on Computer Vision and …,https://link.springer.com/chapter/10.1007/978-981-16-1103-2_22,0,,,,,,,
332,Pesaranghader,Concept embedding for deep neural functional analysis of genes and deep neural word sense disambiguation of biomedical text,2,2019, dalspace.library.dal.ca,,https://dalspace.library.dal.ca/handle/10222/76087,0,,,,,,,
331, from Bloc,Statistical Analysis of a Digital Fine Estimator of Motion in the Presence of Directional Random Images,0,1996, ieeexplore.ieee.org, IEEE TRANSACTIONS ON IMAGE …,https://ieeexplore.ieee.org/iel4/83/10607/x0067620.pdf,0,,,,,,,
350, Howard Jr,"Formulation of a cislunar human transportation architecture through the use of analytic, heuristic, and parametric algorithms",1,2002, search.proquest.com,,https://search.proquest.com/openview/c4494ba6df555b2bde5733a56a67bdae/1?pq-origsite=gscholar&cbl=18750&diss=y,0,,,,,,,
352," McKenney, M McGrain, RC Davidson, RD Hazeltine…",Comparative assessment of world research efforts on magnetic confinement fusion,0,1990, osti.gov,,https://www.osti.gov/biblio/6860799,0,,,,,,,
